,host_name,neighbourhood_group,room_type,price,availability_365,reviews_per_month,Hotel_value
4173,Vida,2,Entire home/apt,149,341,0.08,490
4174,Nicole,2,Entire home/apt,225,0,0.04,225
4175,Monica,2,Entire home/apt,135,0,0.03,135
4176,Ed,1,Entire home/apt,140,0,0.73,140
4177,Will,1,Entire home/apt,200,0,0.07,200
4178,Vida,2,Entire home/apt,159,327,0.12,486
4179,Naz,2,Entire home/apt,200,81,1.68,281
4180,Clayon Elizabeth,2,Entire home/apt,155,336,0.36,491
4181,Patrizza,2,Entire home/apt,125,0,0.29,125
4182,Martine,4,Private room,71,45,0.37,116
4183,Robert,2,Private room,75,266,1.22,341
4184,Bridget,1,Entire home/apt,275,157,0.11,432
4186,Scott,1,Entire home/apt,250,0,0.02,250
4187,Tony,2,Entire home/apt,200,64,2.03,264
4188,Herby,2,Entire home/apt,90,311,0.08,401
4189,Yagil,2,Private room,50,0,0.09,50
4190,Devin,2,Entire home/apt,124,165,1.06,289
4192,Fotis,3,Private room,50,313,0.59,363
4193,Zachary,1,Private room,75,0,0.02,75
4194,Vijay,1,Private room,90,0,0.03,90
4195,Jonathan,2,Entire home/apt,130,248,1.45,378
4196,Mike,1,Entire home/apt,140,0,0.3,140
4197,Sarah,2,Entire home/apt,200,0,0.03,200
4198,Ann,2,Entire home/apt,350,0,0.12,350
4199,Sarah,1,Entire home/apt,100,0,0.39,100
4200,Taylor,3,Entire home/apt,225,0,0.02,225
4201,Heather,2,Private room,65,0,0.07,65
4202,Seth,2,Entire home/apt,145,275,2.75,420
4203,Cong,1,Entire home/apt,189,0,0.25,189
4204,Eva,1,Entire home/apt,265,29,0.1,294
4205,Marie-Christine,1,Entire home/apt,409,0,0.05,409
4206,Olivia,2,Private room,95,0,0.19,95
4207,Sandy,1,Private room,175,324,1.41,499
4208,Funda,3,Private room,55,30,1.82,85
4209,Al,1,Entire home/apt,200,248,0.57,448
4210,Craig,1,Entire home/apt,200,88,0.81,288
4211,Jasmine,2,Private room,69,280,2.89,349
4212,Rachel,2,Entire home/apt,135,76,0.53,211
4213,Linda,2,Entire home/apt,325,0,0.2,325
4214,Michelle,1,Private room,95,18,4.2,113
4215,AFI Apartments,1,Entire home/apt,117,298,0.09,415
4216,Nick,1,Private room,59,99,1.33,158
4217,Luis,1,Shared room,85,171,1.03,256
4218,Ruth,3,Private room,55,333,0.82,388
4219,Lisa,2,Private room,80,13,5.54,93
4220,Evan,2,Entire home/apt,115,0,0.04,115
4221,Lisa,1,Private room,78,49,0.74,127
4222,Chris,1,Private room,150,357,0.6,507
4223,Yulia,2,Entire home/apt,195,0,0.05,195
4224,Max,2,Entire home/apt,142,157,0.13,299
4226,Ada Azra,4,Shared room,55,365,0.16,420
4227,Jenn,2,Entire home/apt,97,282,0.12,379
4228,Ariana,2,Entire home/apt,70,211,0.21,281
4229,Jeani,1,Shared room,70,262,3.53,332
4230,Frances,1,Private room,155,88,0.4,243
4231,Bruce,2,Entire home/apt,68,0,0.09,68
4232,Amina,1,Private room,68,129,0.61,197
4233,Eilon,2,Entire home/apt,150,53,1.33,203
4235,Ken,1,Entire home/apt,150,0,0.02,150
4236,Henriette,1,Private room,100,365,0.07,465
4237,Joy,1,Entire home/apt,110,331,1.61,441
4238,Eric,2,Entire home/apt,150,0,0.02,150
4240,Marc,1,Entire home/apt,218,304,0.9,522
4241,Kiki,1,Entire home/apt,430,14,0.38,444
4242,Chris,2,Private room,79,111,2.83,190
4243,Martina,1,Entire home/apt,120,99,0.91,219
4244,Norman,2,Entire home/apt,200,15,0.67,215
4245,Francesca,1,Private room,120,0,0.19,120
4247,Stanton,1,Entire home/apt,200,0,0.45,200
4248,Skylar,5,Entire home/apt,75,0,0.02,75
4249,Tyson,2,Entire home/apt,175,0,0.03,175
4250,Virginie,2,Entire home/apt,76,333,0.04,409
4251,Samantha,1,Entire home/apt,75,0,0.1,75
4252,Sil,2,Entire home/apt,400,171,0.35,571
4253,Ruth,3,Private room,75,355,0.77,430
4254,Cyn,1,Entire home/apt,189,0,0.02,189
4255,Emily,3,Private room,55,0,0.02,55
4256,Ger,2,Private room,80,0,0.18,80
4257,Cash,2,Private room,69,238,0.31,307
4258,Ines,1,Private room,100,0,0.02,100
4259,Neisha,3,Entire home/apt,100,0,0.02,100
4260,Brandon,1,Entire home/apt,300,219,0.3,519
4261,Juan,1,Private room,53,117,3.29,170
4262,Matthew,1,Entire home/apt,179,0,0.26,179
4264,Fernando,3,Entire home/apt,130,170,0.82,300
4265,Caroline,4,Entire home/apt,120,0,1.54,120
4266,Jerome,2,Private room,150,16,0.42,166
4267,AFI Apartments,1,Entire home/apt,105,265,0.09,370
4268,Raymond,2,Entire home/apt,150,209,3.19,359
4269,Roger,1,Entire home/apt,200,0,0.02,200
4270,Gen,1,Private room,39,168,0.3,207
4271,Denise,1,Entire home/apt,67,0,0.12,67
4272,Paula,1,Entire home/apt,200,32,0.93,232
4273,Vida,2,Entire home/apt,129,336,0.05,465
4274,Randy,2,Private room,55,307,1.11,362
4275,Delia,3,Private room,65,198,0.48,263
4276,Bee,1,Entire home/apt,100,0,0.29,100
4278,Alfonso,1,Entire home/apt,240,0,0.02,240
4279,Aspen,1,Entire home/apt,150,107,0.52,257
4280,Anna,1,Entire home/apt,299,267,2.46,566
4281,Anastasia,3,Entire home/apt,160,269,2.78,429
4284,Vida,2,Entire home/apt,199,311,0.08,510
4285,Erin,1,Private room,100,0,0.55,100
4286,Gilberto,1,Private room,45,53,1.92,98
4287,"Rossy,  Carmen And Juan",4,Private room,44,70,2.13,114
4290,Andrea,1,Entire home/apt,185,0,0.08,185
4292,Janelle,1,Entire home/apt,650,283,1.76,933
4293,Patrick,2,Private room,100,0,0.18,100
4294,Chad,1,Private room,111,317,1.65,428
4295,Ofer,1,Entire home/apt,99,139,0.19,238
4296,Louie,2,Private room,75,87,0.31,162
4297,AFI Apartments,1,Entire home/apt,103,336,0.06,439
4298,Ilda,3,Entire home/apt,130,0,1.55,130
4299,Ofer,1,Entire home/apt,109,90,0.34,199
4301,Ting,2,Entire home/apt,100,0,0.05,100
4302,Glenn,2,Entire home/apt,155,59,0.08,214
4303,Caitlin,3,Private room,60,118,2.64,178
4304,Mark,2,Entire home/apt,195,13,0.18,208
4305,Alwin,3,Entire home/apt,69,30,1.25,99
4306,Julio,1,Private room,72,311,1.05,383
4307,Cristina,2,Entire home/apt,300,224,0.24,524
4308,AFI Apartments,1,Entire home/apt,119,339,0.13,458
4309,Sine,2,Private room,100,296,0.09,396
4310,Jessica,2,Private room,199,363,1.14,562
4311,Teresa,1,Private room,75,126,0.33,201
4312,Kells,2,Private room,100,96,1.22,196
4313,Allison,1,Entire home/apt,125,0,1.0,125
4314,Christian,3,Entire home/apt,95,0,0.4,95
4315,Triny,2,Entire home/apt,295,151,1.74,446
4316,Hugh,3,Private room,149,365,0.17,514
4317,Patricia,1,Entire home/apt,150,0,0.1,150
4318,Shanti,2,Entire home/apt,100,214,2.87,314
4320,Sara,1,Entire home/apt,385,180,0.75,565
4321,Jerry,2,Entire home/apt,87,233,3.31,320
4322,Paulo,1,Entire home/apt,180,184,0.1,364
4323,Ruth,3,Private room,59,185,0.78,244
4324,Rob&Elle,5,Private room,95,264,3.74,359
4325,Inga,1,Entire home/apt,130,161,0.05,291
4326,Alexandra,2,Entire home/apt,120,254,2.2,374
4327,Tracy & Matt,1,Private room,113,41,4.05,154
4328,Angelo,3,Private room,60,309,2.14,369
4329,Anna,2,Private room,40,221,0.5,261
4330,Nesrine,1,Entire home/apt,250,0,0.03,250
4333,Derek,2,Entire home/apt,149,0,0.04,149
4334,Bradley,2,Entire home/apt,169,0,0.54,169
4335,Kieran,2,Private room,105,93,1.4,198
4336,Jeffrey,2,Private room,42,0,0.1,42
4338,Raymond,1,Entire home/apt,200,0,0.14,200
4339,Claire,2,Entire home/apt,160,279,0.74,439
4340,Dave,2,Private room,155,0,0.67,155
4341,Velma,2,Entire home/apt,151,308,0.54,459
4342,Merrill,1,Entire home/apt,200,0,0.02,200
4343,Sophia,2,Private room,80,0,0.14,80
4344,Michael,3,Entire home/apt,119,0,0.05,119
4345,Bianca,2,Private room,5000,363,0.16,5363
4346,Al,2,Private room,45,99,1.58,144
4347,Robert And Zafir,2,Entire home/apt,115,0,0.08,115
4348,Rosa,2,Private room,65,269,1.06,334
4349,Winona,1,Private room,87,89,0.63,176
4350,Maria,1,Private room,110,21,0.14,131
4351,Jon,2,Private room,80,0,1.13,80
4353,Jess,2,Private room,63,290,1.34,353
4354,Seryn,2,Entire home/apt,200,78,0.78,278
4355,Meg,2,Entire home/apt,185,0,0.16,185
4356,James,1,Entire home/apt,250,9,1.83,259
4357,Satya,1,Entire home/apt,130,187,0.94,317
4358,Gillian,2,Entire home/apt,185,254,1.18,439
4359,Lily,2,Private room,75,0,0.08,75
4360,Jane,1,Entire home/apt,240,52,3.67,292
4361,Nicole,2,Private room,65,0,0.08,65
4362,Joseph,1,Entire home/apt,195,0,0.51,195
4363,Ray,1,Entire home/apt,200,0,0.74,200
4364,Kaytlin,1,Private room,120,283,4.07,403
4365,Molly,2,Entire home/apt,180,197,2.9,377
4366,Yolanda,3,Private room,53,189,1.44,242
4367,Carlo,1,Entire home/apt,200,0,0.16,200
4368,Michael,1,Private room,100,0,2.26,100
4369,Tamoi,2,Entire home/apt,86,0,1.07,86
4370,Zuben,1,Entire home/apt,225,0,0.1,225
4371,Yolanda,3,Private room,40,291,2.21,331
4372,Sanjna,1,Entire home/apt,60,291,0.15,351
4373,Astoria,3,Private room,70,220,0.21,290
4374,Petya,3,Private room,35,364,1.0,399
4375,Marjorie,1,Entire home/apt,250,284,2.17,534
4376,Jessica,2,Entire home/apt,4500,365,0.09,4865
4377,Jessica,2,Entire home/apt,8000,365,0.03,8365
4379,Anna,3,Entire home/apt,255,297,0.97,552
4380,Bah.,1,Entire home/apt,290,252,1.25,542
4382,Ellie,1,Entire home/apt,115,4,0.3,119
4383,Jeffrey,2,Entire home/apt,299,346,0.56,645
4384,Quyen,1,Entire home/apt,160,0,0.55,160
4385,Kevin,1,Shared room,175,0,0.02,175
4386,Claude,1,Private room,120,174,5.81,294
4387,Jessica,2,Private room,179,365,0.13,544
4388,Mariano,2,Private room,74,25,1.71,99
4389,Brent,1,Private room,68,237,2.42,305
4390,Allie,1,Private room,235,135,0.68,370
4391,Mads,2,Private room,100,0,0.07,100
4392,Karen,2,Entire home/apt,270,0,0.22,270
4393,Lily,2,Entire home/apt,200,0,0.04,200
4395,Hannah,2,Private room,60,83,0.04,143
4396,Frederico,1,Entire home/apt,155,341,0.7,496
4397,Alesandra,1,Private room,95,288,4.5,383
4398,Nico,1,Entire home/apt,125,0,0.27,125
4399,AFI Apartments,1,Entire home/apt,118,308,0.03,426
4400,Grace Brigitte,1,Private room,80,278,1.56,358
4401,Patricia,2,Entire home/apt,210,0,0.11,210
4402,Chris,2,Entire home/apt,150,0,0.16,150
4403,Karen And Ben,2,Entire home/apt,135,296,2.19,431
4404,AFI Apartments,1,Entire home/apt,118,326,0.06,444
4405,Lane,1,Private room,110,113,1.48,223
4406,Danie,2,Private room,70,0,0.17,70
4407,Sergey & Kate,2,Private room,43,220,2.77,263
4408,David,2,Entire home/apt,140,294,3.26,434
4409,AFI Apartments,1,Entire home/apt,116,335,0.02,451
4410,Vida,2,Entire home/apt,159,317,0.12,476
4411,Josandra,2,Entire home/apt,135,187,4.84,322
4412,Gen,1,Private room,39,310,0.36,349
4413,Jade,2,Private room,59,54,0.28,113
4414,Aivars,1,Entire home/apt,600,0,0.03,600
4415,Ruby,2,Private room,66,41,0.11,107
4416,Mike,1,Entire home/apt,130,365,0.03,495
4417,Christy,2,Entire home/apt,100,237,4.57,337
4418,Emma,2,Private room,50,125,0.94,175
4419,Alison,1,Private room,185,365,0.56,550
4420,Jessie,2,Private room,54,0,0.07,54
4421,Camille,2,Entire home/apt,100,202,0.11,302
4422,Selma,1,Entire home/apt,180,0,0.1,180
4423,Kendall,2,Entire home/apt,115,78,0.7,193
4424,Amir,2,Entire home/apt,350,21,0.19,371
4425,Sheki,2,Private room,32,319,0.07,351
4426,Neomi,2,Entire home/apt,165,297,0.38,462
4427,Nattie,1,Entire home/apt,350,0,0.19,350
4429,Enma,2,Entire home/apt,200,95,0.32,295
4430,Arnan & Zahira,2,Entire home/apt,175,107,0.1,282
4431,Dany,1,Private room,50,188,0.96,238
4432,Nicholas,1,Entire home/apt,190,0,0.18,190
4433,Genny,1,Private room,110,182,0.6,292
4434,Kellie,2,Entire home/apt,414,0,0.06,414
4436,Mike,1,Entire home/apt,150,365,0.03,515
4437,Michael,1,Entire home/apt,93,97,0.17,190
4439,Oswaldo,5,Entire home/apt,175,39,0.4,214
4440,Laura,2,Entire home/apt,155,364,0.05,519
4441,Vida,2,Entire home/apt,129,337,0.08,466
4442,Genae,4,Private room,50,188,0.36,238
4443,Jacques,2,Entire home/apt,499,31,0.03,530
4444,William,2,Shared room,80,90,0.15,170
4446,Miranda,3,Private room,47,0,0.28,47
4447,Juan Felipe,2,Private room,95,0,0.02,95
4448,Michelle,1,Entire home/apt,249,278,2.52,527
4449,Mike,1,Entire home/apt,150,362,0.04,512
4450,Harper,1,Private room,77,18,2.29,95
4452,Deedles,2,Private room,70,67,0.61,137
4453,Mike,1,Entire home/apt,100,311,0.11,411
4454,Mike,1,Entire home/apt,87,365,0.1,452
4455,Helen,2,Entire home/apt,245,0,0.05,245
4456,Brian,1,Entire home/apt,300,254,1.53,554
4457,Carlos,1,Private room,55,0,0.03,55
4458,Kerry,1,Entire home/apt,120,0,0.08,120
4459,Gen,1,Private room,40,130,0.15,170
4460,SoSo,1,Private room,115,332,0.29,447
4461,Michael,1,Entire home/apt,93,234,0.3,327
4462,David,1,Private room,37,0,0.02,37
4463,Marc,2,Entire home/apt,240,0,0.29,240
4465,Kara Ayn,3,Private room,70,32,2.33,102
4466,Vida,2,Entire home/apt,149,295,0.1,444
4467,Kells,2,Private room,100,14,0.17,114
4468,Jennifer,1,Entire home/apt,200,0,1.52,200
4469,Emilia,2,Entire home/apt,99,0,0.7,99
4470,Eran,1,Entire home/apt,220,2,0.08,222
4471,Courtney,1,Entire home/apt,250,0,0.06,250
4472,AFI Apartments,1,Entire home/apt,103,209,0.2,312
4473,AFI Apartments,1,Entire home/apt,108,188,0.14,296
4474,El Haj,1,Private room,75,325,0.1,400
4475,Darwin And Nicole,2,Entire home/apt,78,0,0.16,78
4476,Agustina,2,Private room,75,0,0.13,75
4477,Edmi,2,Entire home/apt,152,12,0.1,164
4478,Lisa,1,Entire home/apt,150,3,0.51,153
4479,Einar,1,Entire home/apt,320,269,2.7,589
4480,Benjamin,2,Entire home/apt,220,0,0.07,220
4481,Joycelyn,2,Entire home/apt,99,287,3.67,386
4482,Alex,1,Entire home/apt,950,34,0.69,984
4483,Lindsey,1,Entire home/apt,120,0,0.02,120
4484,Patrick,1,Entire home/apt,100,0,0.08,100
4485,Anneta,2,Entire home/apt,199,37,0.11,236
4486,Samira,1,Private room,100,20,4.2,120
4487,Mac,2,Private room,75,25,1.29,100
4488,Mike,1,Entire home/apt,84,365,0.12,449
4489,Rebecca,2,Entire home/apt,100,0,0.04,100
4490,Michelle,2,Private room,75,292,1.41,367
4491,Crystal & Clee,2,Private room,93,336,1.73,429
4492,Marcus,2,Entire home/apt,140,315,1.38,455
4493,Heather,2,Entire home/apt,200,5,0.63,205
4494,Kristen,2,Entire home/apt,200,157,0.03,357
4495,Cristina,2,Entire home/apt,200,0,0.6,200
4496,Tyler,3,Entire home/apt,100,0,0.02,100
4497,Sarah,1,Private room,100,138,1.47,238
4498,Susana,1,Entire home/apt,120,203,1.61,323
4499,Mark,2,Entire home/apt,109,0,0.08,109
4500,Etan,2,Private room,126,105,0.8,231
4501,Ayo,1,Private room,50,321,0.04,371
4502,Matt,1,Entire home/apt,325,0,0.12,325
4504,Mariam,2,Entire home/apt,135,0,0.07,135
4505,Marty,3,Entire home/apt,52,0,0.02,52
4506,Grant,1,Entire home/apt,124,38,0.21,162
4507,Mack,3,Private room,59,158,0.61,217
4508,Meredith,1,Entire home/apt,215,0,0.13,215
4509,Alex,1,Private room,240,93,0.13,333
4510,Nicholas,1,Private room,150,87,0.19,237
4511,Bernice,2,Private room,83,0,0.03,83
4513,Julia,1,Entire home/apt,160,0,0.1,160
4514,Michael,1,Shared room,200,180,0.13,380
4515,Jehan,2,Entire home/apt,50,0,0.07,50
4516,Mike,1,Entire home/apt,87,311,0.2,398
4518,Alon & Adi,1,Entire home/apt,250,7,0.36,257
4519,Zoe,2,Entire home/apt,162,282,3.47,444
4521,Hans,1,Private room,147,10,0.51,157
4522,Dean,2,Entire home/apt,149,254,3.7,403
4523,Monica,2,Entire home/apt,65,0,0.14,65
4524,Craig,2,Entire home/apt,250,0,0.21,250
4525,Gil,2,Private room,160,307,2.54,467
4526,Madeleine,1,Entire home/apt,150,0,0.16,150
4528,Natalie,2,Private room,64,282,0.77,346
4529,Victor,2,Private room,33,16,3.62,49
4530,Jack Andrew,1,Private room,500,363,0.05,863
4531,Sara,2,Entire home/apt,150,7,0.94,157
4532,Isabelle,1,Private room,110,0,0.03,110
4533,Tenisha & Marty,2,Entire home/apt,145,218,1.96,363
4535,Marc,2,Private room,95,0,0.17,95
4536,Rick,2,Entire home/apt,185,0,1.3,185
4537,Tenisha & Marty,2,Entire home/apt,500,365,0.71,865
4538,Samantha,1,Entire home/apt,115,0,0.03,115
4539,Lynn,5,Entire home/apt,195,204,1.73,399
4540,Victoria And Juliana,2,Entire home/apt,105,221,0.08,326
4541,Quinn,2,Entire home/apt,67,26,0.16,93
4542,Marc,2,Entire home/apt,75,0,0.02,75
4543,Zachary,1,Private room,100,0,0.08,100
4544,Anna,2,Entire home/apt,125,188,0.93,313
4545,Ellie,2,Entire home/apt,350,0,0.04,350
4546,Masha,2,Entire home/apt,150,0,0.33,150
4547,David,3,Entire home/apt,200,188,0.37,388
4548,Mark,2,Entire home/apt,270,12,0.16,282
4549,Teresa,2,Entire home/apt,184,0,0.37,184
4550,Natasha,2,Entire home/apt,275,34,0.32,309
4551,Nicholas,1,Entire home/apt,171,0,0.02,171
4553,Justin,1,Entire home/apt,200,0,0.07,200
4554,Benjamin,2,Entire home/apt,165,0,0.19,165
4555,Tanda,2,Private room,85,363,0.45,448
4556,Daphna,2,Entire home/apt,170,44,0.33,214
4557,Justin,2,Private room,70,142,1.13,212
4558,Erin & Becky,2,Private room,125,7,0.6,132
4559,S Anthony,1,Entire home/apt,275,323,1.02,598
4560,Sil,2,Private room,120,162,2.2,282
4562,David,2,Entire home/apt,225,0,0.11,225
4563,Vlado & Sandra,3,Entire home/apt,119,214,3.67,333
4564,Jeff,1,Entire home/apt,175,0,0.1,175
4565,Velma,2,Entire home/apt,155,363,0.71,518
4566,Matthew,1,Entire home/apt,100,0,0.02,100
4567,Jeffrey,1,Private room,70,209,0.26,279
4568,Carol,4,Entire home/apt,95,358,0.96,453
4569,Ryan,2,Entire home/apt,450,13,0.2,463
4570,Stanley,2,Entire home/apt,215,106,0.53,321
4571,Thomas,2,Private room,60,0,0.07,60
4572,Yan,4,Private room,75,300,0.67,375
4573,Glasshouse,2,Private room,99,11,0.36,110
4574,Birgitta,2,Entire home/apt,300,268,1.81,568
4575,Gina,1,Entire home/apt,175,339,2.39,514
4576,Albane,1,Entire home/apt,195,0,0.13,195
4577,Nathan,3,Private room,50,140,0.15,190
4578,Karlan,1,Entire home/apt,175,0,0.03,175
4579,Thomas & Gaby,2,Entire home/apt,120,56,2.86,176
4580,Anthony,2,Private room,54,0,0.19,54
4581,Larry,1,Entire home/apt,345,273,2.34,618
4582,Althea,2,Entire home/apt,225,275,1.24,500
4583,Chris,2,Entire home/apt,151,54,0.3,205
4584,Shae,2,Entire home/apt,110,179,3.06,289
4585,Karima,1,Entire home/apt,280,0,0.28,280
4586,Lisa,2,Private room,99,125,1.28,224
4587,Jennifer,2,Entire home/apt,350,0,0.14,350
4589,Michelle,1,Entire home/apt,120,197,3.47,317
4590,Jackie,1,Private room,89,177,3.72,266
4591,Folake,2,Private room,120,365,0.02,485
4592,Tal,1,Private room,85,80,2.3,165
4593,Caroline,1,Entire home/apt,220,0,1.93,220
4594,Anthony,1,Private room,125,309,0.29,434
4595,Petek,1,Entire home/apt,189,0,0.05,189
4597,Ingrid,1,Private room,81,0,0.19,81
4598,Heather,1,Shared room,45,15,2.22,60
4600,Cheryl,1,Private room,62,35,0.61,97
4601,Julie,2,Entire home/apt,330,351,1.98,681
4602,Maria,1,Private room,80,0,0.25,80
4603,Ford,1,Shared room,65,0,0.21,65
4604,Carl,1,Private room,125,43,0.05,168
4605,Samantha And Scott,2,Entire home/apt,165,264,3.1,429
4606,Pierre-Hubert,1,Private room,90,0,0.05,90
4607,Laurie,2,Entire home/apt,120,9,0.13,129
4609,Melissa,2,Entire home/apt,115,0,0.1,115
4610,Dov,2,Private room,55,249,0.79,304
4613,Shae,2,Entire home/apt,55,64,1.91,119
4614,Caroline,2,Entire home/apt,400,1,0.56,401
4615,Claudia,2,Entire home/apt,200,0,0.05,200
4616,May,2,Entire home/apt,111,0,3.08,111
4617,Jonathan,2,Entire home/apt,175,0,0.2,175
4618,Norva,1,Entire home/apt,150,0,0.54,150
4619,Lilia,1,Private room,52,17,0.28,69
4620,Brooke,2,Entire home/apt,88,101,0.09,189
4621,Melissa,2,Entire home/apt,425,321,0.08,746
4622,Yuval,1,Entire home/apt,175,0,0.05,175
4626,Ava,2,Private room,105,285,0.42,390
4627,Patti,2,Entire home/apt,265,0,0.18,265
4628,Andrea,1,Private room,60,188,0.25,248
4629,Kristiana,1,Private room,45,0,0.21,45
4630,Malik,1,Private room,89,0,0.92,89
4631,Chen,1,Entire home/apt,200,6,1.7,206
4632,Katy,2,Entire home/apt,149,0,0.28,149
4633,Soon,1,Private room,80,227,4.36,307
4634,Rebekah,2,Entire home/apt,125,122,3.05,247
4635,Aseel,1,Entire home/apt,78,0,0.22,78
4636,Anna,2,Private room,65,80,2.5,145
4637,Laurence,2,Entire home/apt,350,0,0.14,350
4639,Jon,1,Entire home/apt,289,0,0.02,289
4640,Benjamin,2,Entire home/apt,158,365,0.14,523
4641,Ali,1,Private room,50,0,0.11,50
4642,Lorna,1,Entire home/apt,234,0,0.08,234
4644,Eve,1,Private room,69,0,0.03,69
4645,Tara,1,Entire home/apt,135,0,0.35,135
4646,Goran,2,Private room,89,359,1.19,448
4647,Jeff,1,Entire home/apt,16,9,1.69,25
4648,Dee,2,Entire home/apt,300,254,0.52,554
4649,Ramon,1,Entire home/apt,250,234,0.83,484
4650,John,2,Entire home/apt,70,0,0.08,70
4651,Irena,1,Private room,140,316,1.91,456
4652,Kevin,1,Entire home/apt,175,0,0.3,175
4653,Kevin,2,Entire home/apt,160,0,0.03,160
4655,Linnea,2,Private room,57,0,0.18,57
4656,Rivani,1,Private room,90,53,1.58,143
4657,Karen,3,Private room,89,1,0.65,90
4658,Tania,2,Entire home/apt,90,13,0.37,103
4659,Matt,1,Entire home/apt,200,312,0.82,512
4660,Jon,2,Entire home/apt,100,30,1.08,130
4661,Suzy,2,Entire home/apt,68,334,0.41,402
4662,Daniel,1,Entire home/apt,170,0,0.23,170
4663,Sheki,2,Private room,40,318,0.22,358
4664,Francesca,1,Entire home/apt,500,341,0.18,841
4665,Cecile,2,Entire home/apt,145,0,0.22,145
4666,Stefano,2,Entire home/apt,250,6,0.27,256
4667,Katie,1,Entire home/apt,288,222,0.23,510
4668,Roy,2,Entire home/apt,245,0,0.3,245
4669,Laura,1,Entire home/apt,80,0,0.25,80
4670,Arun,2,Entire home/apt,125,0,0.08,125
4671,Celeste,1,Entire home/apt,166,48,0.3,214
4672,Christine,1,Entire home/apt,330,260,0.18,590
4673,Travis,2,Private room,60,0,0.16,60
4674,Hope,1,Private room,130,0,0.05,130
4675,Julie,2,Private room,45,0,0.07,45
4676,Michelle,1,Entire home/apt,165,75,2.71,240
4677,Taller,1,Private room,155,172,0.23,327
4678,Andrey,1,Entire home/apt,119,0,0.04,119
4679,Aaron,2,Entire home/apt,158,0,0.19,158
4680,Danny,2,Entire home/apt,169,91,0.83,260
4681,Mary & Josh,2,Entire home/apt,139,231,2.09,370
4682,Gautam,1,Entire home/apt,125,0,0.11,125
4683,Michelle,3,Private room,70,353,0.41,423
4684,Smidty,2,Private room,135,162,4.69,297
4685,Ofer,1,Entire home/apt,99,170,0.13,269
4688,Amanda,1,Entire home/apt,250,173,0.51,423
4690,Heather,2,Private room,100,10,0.08,110
4691,Faith,2,Entire home/apt,128,32,1.53,160
4692,Theresa,2,Entire home/apt,121,7,0.13,128
4693,Linda,2,Entire home/apt,160,228,0.63,388
4695,Robert,1,Entire home/apt,275,20,0.5,295
4696,Adam,1,Entire home/apt,180,0,0.07,180
4697,Carrie,1,Entire home/apt,189,203,2.86,392
4699,Louisa,2,Entire home/apt,99,235,2.46,334
4700,Anne,2,Entire home/apt,200,193,2.0,393
4701,Delphine And Michael,1,Entire home/apt,145,262,1.9,407
4702,Natasha,1,Private room,100,219,1.05,319
4703,Tara,1,Entire home/apt,240,0,0.37,240
4704,Amber,2,Private room,90,0,0.85,90
4705,Simone,2,Entire home/apt,220,306,0.91,526
4706,Pam,2,Private room,100,240,1.01,340
4707,Christopher,3,Private room,59,359,2.34,418
4708,Lamee,2,Entire home/apt,78,188,1.33,266
4709,Desmar,4,Entire home/apt,75,253,1.41,328
4710,Jessica,2,Private room,78,362,1.43,440
4711,Morgan,1,Entire home/apt,250,0,0.07,250
4713,Asher,1,Private room,44,0,0.05,44
4714,Aaron,2,Private room,69,125,0.47,194
4716,Lihi,2,Entire home/apt,90,0,0.07,90
4717,Carolina,2,Entire home/apt,125,0,0.17,125
4718,Kitt,2,Entire home/apt,78,0,0.2,78
4719,Dave,1,Entire home/apt,785,331,1.52,1116
4720,Dorina,3,Entire home/apt,99,299,2.65,398
4721,Cris,3,Private room,74,76,0.16,150
4722,Fate,1,Entire home/apt,130,0,0.06,130
4723,Shawn & Christine,3,Entire home/apt,105,70,3.54,175
4724,Natalie,1,Entire home/apt,145,0,0.1,145
4725,Fernando,1,Private room,90,40,2.67,130
4726,Alicia And Jamie,2,Entire home/apt,215,0,0.23,215
4727,Jeremy,1,Entire home/apt,100,0,0.03,100
4728,Louis,2,Entire home/apt,92,281,3.14,373
4729,Mark,1,Entire home/apt,185,2,0.08,187
4731,Whitney,1,Entire home/apt,160,1,0.18,161
4732,Michael,1,Entire home/apt,93,329,0.26,422
4733,Host,1,Entire home/apt,300,291,0.24,591
4734,Nikki,2,Private room,75,0,0.05,75
4735,Spencer,1,Entire home/apt,370,365,0.13,735
4736,Nicole,1,Entire home/apt,425,0,0.07,425
4737,Richard,2,Entire home/apt,200,282,0.18,482
4738,Alejandro,1,Private room,125,348,0.89,473
4739,Robert,1,Entire home/apt,179,0,0.03,179
4740,Karen,2,Private room,46,346,1.24,392
4741,Susanna,2,Entire home/apt,150,86,0.76,236
4742,Rez,2,Private room,52,0,0.6,52
4743,Lauren,1,Private room,80,351,0.67,431
4744,Tara,2,Entire home/apt,120,0,0.08,120
4745,Olga,2,Entire home/apt,300,363,0.13,663
4746,Katherine,2,Private room,110,189,0.02,299
4747,Johanna,2,Entire home/apt,200,0,0.07,200
4748,Maria,2,Entire home/apt,75,0,0.16,75
4749,Caleb,1,Entire home/apt,200,25,0.84,225
4750,Cayla,1,Entire home/apt,300,0,0.19,300
4751,Berhani,1,Private room,22,0,0.05,22
4752,Vida,2,Entire home/apt,129,157,0.27,286
4753,Debris,1,Entire home/apt,125,0,0.07,125
4755,Tanya,1,Entire home/apt,185,31,0.3,216
4756,Aleksandra,2,Entire home/apt,158,0,0.28,158
